TIME,BRIGHTNESS
0,21
1,42
3,64
4,85
6,106
7,127
9,148
10,169
12,190
13,211
15,232
16,253
21,274
30,295
38,315
47,336
55,357
63,377
71,398
79,419
88,419
97,418
105,417
114,417
123,417
133,417
142,416
151,416
161,415
171,415
180,414
189,413
198,413
207,413
217,413
227,412
236,412
245,412
254,411
264,411
273,410
282,410
292,410
302,410
311,410
320,409
329,408
338,408
348,408
358,408
367,409
376,409
386,409
395,408
404,408
413,408
423,409
433,409
442,410
451,410
460,411
470,411
479,411
489,411
498,412
507,412
517,413
526,414
535,415
544,415
553,415
564,416
573,416
582,417
591,418
601,419
610,420
619,420
629,421
638,421
648,421
657,422
666,423
675,424
685,425
695,425
704,425
713,426
722,426
732,427
741,428
750,428
760,429
770,429
779,429
788,430
797,429
806,430
816,430
826,431
835,431
844,431
854,431
863,430
872,431
881,431
891,431
901,431
910,431
919,431
928,431
937,430
947,430
957,430
966,430
975,430
985,430
994,429
1003,429
1013,428
1025,427
1035,427
1045,427
1055,427
1065,427
1076,426
1086,425
1097,424
1107,424
1118,423
1128,422
1138,422
1148,421
1160,421
1170,420
1180,419
1190,419
1201,418
1211,417
1222,417
1232,416
1243,415
1253,415
1263,414
1273,413
1284,413
1295,412
1305,412
1315,411
1326,411
1336,411
1346,410
1357,410
1368,409
1378,409
1388,409
1398,409
1409,409
1420,409
1430,409
1440,408
1451,408
1461,409
1471,409
1481,409
1492,410
1503,410
1513,410
1523,411
1533,411
1544,411
1555,412
1565,412
1575,413
1586,414
1596,414
1606,415
1616,416
1628,416
1638,417
1648,417
1658,418
1669,419
1679,420
1690,421
1700,421
1711,422
1721,423
1731,423
1741,424
1753,425
1763,425
1773,426
1783,427
1794,427
1804,428
1814,428
1825,429
1836,429
1846,430
1856,430
1866,430
1876,431
1888,431
1898,431
1908,432
1918,432
1929,432
1939,432
1949,432
1960,432
1971,432
1981,432
1991,432
2001,431
2012,431
2023,431
2033,431
2043,430
2054,430
2064,429
2074,429
2085,428
2096,428
2106,427
2116,426
2126,425
2137,425
2147,424
2158,424
2168,423
2179,422
2189,421
2199,421
2209,420
2221,419
2231,418
2241,417
2251,417
2262,416
2272,415
2282,415
2293,414
2304,414
2314,413
2324,412
2334,411
2344,411
2356,411
2366,410
2376,410
2386,410
2397,409
2407,409
2418,409
2428,409
2439,409
2449,409
2459,409
2469,409
2480,409
2491,409
2501,410
2511,410
2522,410
2532,411
2542,411
2553,412
2564,412
2574,413
2584,413
2594,414
2605,414
2615,415
2626,416
2636,417
2647,418
2657,418
2667,419
2677,420
2689,421
2699,421
2709,422
2719,422
2729,423
2740,424
2750,425
2761,426
2771,427
2782,427
2792,428
2802,429
2812,429
2824,430
2834,430
2844,431
2854,432
2865,432
2875,433
2886,433
2896,434
2907,434
2917,434
2927,435
2937,435
2948,435
2959,435
2969,436
2979,436
2990,436
3000,436
3010,436
3021,436
3032,436
3042,436
3052,436
3062,435
3073,435
3084,435
3094,435
3104,434
3115,434
3125,434
3135,433
3145,433
3156,432
3167,431
3177,431
3187,430
3197,429
3208,429
3219,428
3229,428
3239,427
3250,426
3260,425
3270,424
3280,423
3292,423
3302,422
3312,421
3322,421
3333,420
3343,420
3354,419
3364,418
3375,417
3385,417
3395,416
3405,416
3417,415
3427,415
3437,414
3447,414
3458,414
3468,414
3478,413
3489,413
3500,413
3510,413
3520,413
3530,412
3540,413
3552,413
3562,413
3572,413
3582,413
3593,413
3603,414
3613,414
3624,415
3635,415
3645,415
3655,416
3665,416
3676,417
3687,417
3697,418
3707,419
3718,420
3728,420
3738,421
3748,421
3760,422
3770,422
3780,423
3790,423
3801,424
3811,425
3822,426
3832,427
3843,427
3853,428
3863,428
3873,429
3885,429
3895,430
3905,430
3915,431
3926,431
3936,432
3946,432
3957,432
3968,433
3978,433
3988,433
3998,433
4008,433
4020,433
4030,434
4040,434
4050,434
4061,433
4071,434
4082,433
4092,433
4103,433
4113,433
4123,432
4133,432
4144,432
4155,431
4165,431
4175,431
4186,431
4196,430
4206,429
4217,429
4228,428
4238,427
4248,427
4258,426
4269,426
4279,425
4290,424
4300,424
4311,423
4321,422
4331,421
4341,421
4353,420
4363,419
4373,418
4383,418
4393,418
4404,417
4414,417
4425,416
4435,415
4446,415
4456,414
4466,414
4476,413
4488,413
4498,413
4508,413
4518,413
4529,412
4539,412
4550,412
4560,412
4571,412
4581,412
4591,412
4601,412
4612,412
4623,412
4633,412
4643,413
4654,413
4664,414
4674,414
4685,415
4696,415
4706,416
4716,416
4726,417
4737,417
4747,418
4758,419
4768,420
4779,420
4789,421
4799,422
4809,422
4820,423
4831,423
4841,424
4851,424
4861,425
4872,426
4883,427
4893,427
4903,428
4914,428
4924,429
4934,429
4944,429
4956,430
4966,430
4976,431
4986,431
4997,431
5007,432
5018,432
5028,432
5039,432
5049,432
5059,433
5069,433
5081,433
5091,433
5101,433
5111,433
5122,433
5132,433
5142,433
5153,432
5164,432
5174,432
5184,431
5194,431
5204,430
5216,430
5226,430
5236,429
5246,429
5257,428
5267,428
5277,427
5288,426
5299,426
5309,425
5319,424
5329,424
5340,423
5351,423
5361,422
5371,421
5382,420
5392,420
5402,419
5413,418
5424,417
5434,417
5444,416
5454,416
5465,415
5475,415
5486,414
5496,414
5507,413
5517,413
5527,412
5537,412
5549,412
5559,411
5569,411
5579,411
5590,411
5600,411
5610,411
5621,411
5632,411
5642,411
5652,411
5662,412
5672,412
5684,412
5694,412
5704,413
5714,414
5725,414
5735,415
5746,415
5756,416
5767,416
5777,417
5787,417
5797,418
5808,418
5819,419
5829,420
5839,421
5850,421
5860,422
5870,423
5881,423
5892,423
5902,424
5912,425
5922,425
5933,426
5943,427
5954,427
5964,428
5975,428
5985,429
5995,429
6005,430
6017,430
6027,430
6037,431
6047,431
6057,432
6068,432
6079,432
6089,432
6099,432
6110,432
6120,433
6130,432
6140,433
6152,433
6162,433
6172,432
6182,432
6193,432
6203,432
6214,432
6224,431
6235,431
6245,430
6255,430
6265,430
6276,429
6287,429
6297,428
6307,428
6318,427
6328,426
6338,426
6349,425
6360,424
6370,423
6380,423
6390,422
6401,421
6412,421
6422,420
6432,420
6443,419
6453,418
6463,417
6473,416
6484,416
6495,415
6505,415
6515,414
6525,414
6536,413
6547,413
6557,412
6567,412
6578,411
6588,411
6598,411
6608,411
6620,410
6630,410
6640,410
6650,410
6661,410
6671,410
6682,410
6692,410
6703,410
6713,410
6723,410
6733,411
6745,411
6755,411
6765,411
6775,412
6786,413
6796,413
6806,414
6817,414
6828,415
6838,415
6848,415
6858,416
6868,417
6880,418
6890,419
6900,420
6910,420
6921,421
6931,421
6941,422
6952,422
6963,423
6973,424
6983,424
6993,425
7004,426
7015,427
7025,427
7035,428
7046,428
7056,428
7066,429
7077,429
7088,430
7098,430
7108,430
7118,431
7129,431
7139,431
7150,431
7160,432
7171,432
7181,432
7191,432
7201,432
7213,432
7223,431
7233,431
7243,431
7254,431
7264,431
7274,430
7285,430
7296,429
7306,429
7316,428
7326,428
7336,427
7348,427
7358,427
7368,426
7378,425
7389,424
7399,424
7409,423
7420,422
7431,421
7441,421
7451,420
7461,420
7472,419
7483,419
7493,418
7503,417
7514,416
7524,416
7534,415
7545,414
7556,414
7566,413
7576,413
7586,413
7597,412
7607,412
7618,411
7628,411
7639,410
7649,410
7659,410
7669,410
7681,410
7691,410
7701,410
7711,409
7721,410
7732,410
7743,410
7753,410
7763,410
7774,411
7784,411
7794,411
7804,412
7816,412
7826,413
7836,413
7846,414
7857,415
7867,415
7878,416
7888,416
7899,417
7909,417
7919,418
7929,418
7940,419
7951,420
7961,421
7971,422
7982,422
7992,423
8002,423
8013,424
8024,424
8034,425
8044,425
8054,426
8065,427
8075,428
8086,428
8096,429
8107,429
8117,430
8127,430
8137,430
8148,430
8159,431
8169,431
8179,431
8189,432
8200,432
8211,432
8221,432
8231,432
8242,432
8252,432
8262,432
8272,432
8284,432
8294,432
8304,431
8314,431
8325,431
8335,431
8346,430
8356,430
8367,429
8377,429
8387,428
8397,428
8409,427
8419,427
8429,427
8439,426
8450,425
8460,424
8470,423
8481,423
8492,422
8502,422
8512,421
8522,420
8532,420
8544,420
8554,419
8564,418
8574,417
8585,417
8595,416
8605,416
8616,415
8627,415
8637,414
8647,414
8657,414
8668,413
8679,413
8689,412
8699,412
8710,412
8720,412
8730,412
8741,412
8752,412
8762,412
8772,412
8782,412
8793,412
8803,412
8814,413
8824,413
8835,413
8845,414
8855,414
8865,414
8877,414
8887,415
8897,416
8907,416
8918,417
8928,417
8938,418
8949,419
8960,419
8970,420
8980,420
8990,421
9000,422
9012,423
9022,423
9032,424
9042,425
9053,426
9063,426
9074,427
9084,427
9095,428
9105,428
9115,429
9125,430
9136,431
9147,431
9157,432
9167,432
9178,432
9188,433
9198,433
9209,433
9220,433
9230,433
9240,434
9250,434
9261,434
9271,434
9282,434
9292,434
9303,434
9313,434
9323,434
9333,434
9345,433
9355,433
9365,433
9375,433
9385,433
9396,432
9407,431
9417,431
9427,431
9438,430
9448,430
9458,429
9468,429
9480,428
9490,428
9500,427
9510,426
9521,426
9531,425
9542,424
9552,423
9563,423
9573,422
9583,422
9593,421
9604,421
9615,420
9625,419
9635,418
9646,417
9656,417
9666,416
9677,416
9688,415
9698,415
9708,415
9718,414
9729,414
9740,414
9750,413
9760,413
9771,413
9781,413
9791,413
9801,413
9812,413
9823,413
9833,413
9843,413
9853,413
9864,414
9875,414
9885,414
9895,414
9906,415
9916,415
9926,415
9936,416
9948,417
9958,417
9968,418
9978,419
9989,419
9999,420
10010,420
10021,422
10033,422
10044,423
10055,424
10066,424
10079,424
10090,425
10101,426
10113,427
10124,427
10135,428
10147,429
10159,430
10170,430
10181,430
10192,431
10204,432
10216,432
10227,433
10238,433
10250,433
10261,434
10273,434
10285,434
10296,434
10307,434
10318,434
10330,435
10342,434
10353,434
10364,434
10376,434
10387,434
10398,433
10411,433
10422,432
10433,432
10444,431
10456,431
10467,430
10479,429
10490,429
10502,428
10513,427
10524,426
10535,425
10548,425
10559,423
10570,422
10582,422
10593,421
10605,420
10616,419
10628,418
10639,418
10650,417
10661,415
10674,415
10685,414
10696,413
10707,412
10719,411
10730,411
10742,410
10754,409
10765,409
10776,408
10787,408
10799,407
10811,407
10822,407
10833,406
10845,406
10856,406
10867,405
10880,405
10891,405
10902,406
10913,406
10925,406
10936,406
10948,406
10959,406
10971,407
10982,408
10993,408
11005,409
11017,409
11028,410
11039,411
11051,411
11062,412
11074,412
11085,413
11097,414
11108,414
11119,415
11130,416
11143,416
11154,417
11165,418
11176,418
11188,419
11199,419
11211,420
11223,421
11234,421
11245,422
11256,422
11268,422
11280,423
11291,423
11302,424
11314,424
11325,424
11337,425
11348,425
11360,424
11371,425
11382,425
11394,425
11406,425
11417,424
11428,424
11440,424
11451,424
11462,424
11474,423
11486,423
11497,422
11508,421
11520,421
11531,420
11543,420
11554,419
11566,418
11577,418
11588,417
11599,416
11612,416
11623,415
11634,414
11645,413
11657,413
11668,412
11680,411
11692,411
11703,410
11714,409
11725,408
11738,407
11749,407
11760,406
11771,406
11783,405
11794,404
11806,404
11817,403
11829,403
11840,403
11851,402
11863,403
11875,402
11886,402
11897,402
11909,401
11920,402
11931,402
11943,402
11955,402
11966,402
11977,403
11988,403
12000,403
12012,404
12023,404
12035,405
12046,406
12057,406
12069,407
12081,408
12092,408
12103,409
12114,409
12126,410
12138,411
12149,412
12161,413
12172,414
12183,414
12194,415
12207,416
12218,416
12229,417
12240,418
12252,419
12263,420
12275,420
12286,420
12298,421
12309,422
12320,422
12332,423
12344,423
12355,424
12366,424
12378,424
12389,424
12400,424
12412,424
12424,424
12435,424
12446,425
12457,424
12470,424
12481,424
12492,423
12504,424
12515,423
12526,422
