TIME3,BRIGHTNESS3
1,85
3,128
4,171
6,213
7,256
9,298
10,341
12,384
13,426
15,426
16,425
24,424
32,424
40,424
49,423
57,423
65,422
73,421
81,421
91,421
99,421
107,420
116,420
125,420
135,420
144,421
153,421
163,421
173,420
182,420
191,420
200,419
209,419
219,420
229,419
238,418
247,418
257,417
266,418
275,417
284,418
294,418
304,419
313,418
322,417
331,417
340,417
350,417
360,418
369,419
378,419
388,418
397,418
406,418
415,418
425,418
435,419
444,420
453,421
462,420
472,420
481,420
491,421
500,421
509,422
519,423
528,424
537,424
546,423
557,423
566,424
575,425
584,425
593,426
603,427
612,427
622,426
631,427
641,427
650,428
659,427
668,428
677,430
687,430
697,429
706,429
715,429
724,430
734,430
743,431
752,432
762,432
772,431
781,431
790,431
799,431
808,431
818,432
828,432
837,432
846,431
856,431
865,431
874,431
883,431
893,431
903,432
912,432
921,431
930,430
940,430
949,431
959,430
968,430
977,431
987,430
996,430
1005,429
1015,428
1027,428
1037,428
1047,428
1057,428
1068,428
1078,427
1089,426
1099,425
1110,425
1120,425
1130,424
1140,423
1150,423
1162,423
1172,422
1182,421
1192,421
1203,421
1213,421
1224,420
1234,420
1245,420
1255,420
1265,419
1275,419
1286,419
1297,418
1307,418
1317,418
1328,418
1338,418
1348,417
1359,418
1370,418
1380,418
1390,417
1400,418
1411,418
1422,418
1432,417
1442,418
1453,418
1463,418
1473,418
1483,418
1495,419
1505,419
1515,419
1525,419
1536,420
1546,420
1557,419
1567,420
1577,421
1588,421
1598,421
1608,421
1618,422
1630,422
1640,422
1650,422
1660,423
1671,424
1681,424
1692,424
1702,426
1713,426
1723,426
1733,427
1743,428
1755,429
1765,429
1775,429
1785,430
1796,431
1806,431
1816,432
1827,433
1838,434
1848,433
1858,434
1868,435
1879,435
1890,435
1900,435
1910,436
1921,436
1931,435
1941,435
1952,436
1963,436
1973,435
1983,435
1993,436
2003,436
2014,435
2025,435
2035,436
2045,436
2056,435
2066,435
2076,435
2087,435
2098,433
2108,433
2118,433
2128,433
2139,432
2149,431
2160,432
2170,432
2181,431
2191,430
2201,431
2211,431
2223,429
2233,429
2243,430
2253,429
2264,428
2274,428
2284,429
2295,429
2306,428
2316,427
2326,428
2336,428
2347,427
2358,427
2368,427
2378,428
2388,427
2399,427
2409,427
2420,427
2430,427
2441,427
2451,428
2461,428
2471,427
2482,427
2493,428
2503,428
2513,428
2524,428
2534,429
2544,429
2555,429
2566,429
2576,430
2586,431
2596,430
2607,430
2618,432
2628,432
2638,432
2649,432
2659,433
2669,434
2679,434
2691,434
2701,435
2711,435
2721,435
2732,435
2742,436
2753,437
2763,437
2774,437
2784,438
2794,438
2804,438
2814,438
2826,439
2836,439
2846,439
2856,439
2867,440
2877,440
2888,440
2898,439
2909,440
2919,440
2929,440
2939,440
2951,440
2961,440
2971,440
2981,439
2992,440
3002,440
3012,440
3023,439
3034,439
3044,439
3054,439
3064,438
3075,438
3086,438
3096,438
3106,437
3117,437
3127,438
3137,437
3147,436
3159,436
3169,436
3179,435
3189,434
3200,433
3210,434
3221,433
3231,432
3241,432
3252,432
3262,432
3272,430
3283,430
3294,430
3304,430
3314,429
3324,428
3335,429
3345,428
3356,428
3366,428
3377,428
3387,428
3397,427
3407,427
3419,427
3429,427
3439,426
3449,426
3460,427
3470,427
3480,426
3491,426
3502,427
3512,427
3522,426
3532,426
3543,427
3554,428
3564,427
3574,427
3585,428
3595,429
3605,428
3616,429
3627,430
3637,430
3647,430
3657,430
3667,431
3678,431
3689,431
3699,431
3709,433
3720,433
3730,433
3740,433
3751,434
3762,435
3772,434
3782,435
3792,436
3803,436
3813,436
3824,436
3834,437
3845,438
3855,437
3865,437
3875,438
3887,438
3897,438
3907,438
3917,439
3928,439
3938,438
3949,438
3959,439
3970,439
3980,439
3990,438
4000,439
4011,439
4022,438
4032,438
4042,439
4052,439
4063,438
4073,438
4084,439
4094,438
4105,437
4115,437
4125,437
4135,437
4146,436
4157,436
4167,436
4177,436
4188,435
4198,434
4208,435
4219,434
4230,433
4240,433
4250,433
4260,433
4271,432
4281,431
4292,432
4302,431
4313,430
4323,430
4333,430
4343,429
4355,428
4365,428
4375,428
4385,428
4396,427
4406,426
4417,427
4427,427
4438,426
4448,425
4458,426
4468,426
4478,425
4490,425
4500,425
4510,425
4520,425
4531,424
4541,425
4552,425
4562,425
4573,425
4583,425
4593,426
4603,425
4615,425
4625,425
4635,426
4645,426
4656,426
4666,427
4676,427
4687,427
4698,427
4708,428
4718,429
4728,428
4739,428
4750,429
4760,430
4770,430
4781,430
4791,431
4801,432
4811,432
4823,432
4833,432
4843,433
4853,433
4864,433
4874,433
4885,434
4895,434
4905,434
4916,434
4926,435
4936,435
4946,435
4958,435
4968,435
4978,436
4988,435
4999,435
5009,436
5020,436
5030,435
5041,435
5051,436
5061,436
5071,435
5083,434
5093,435
5103,435
5113,434
5124,434
5134,434
5144,434
5155,433
5166,432
5176,433
5186,433
5196,431
5207,431
5218,431
5228,431
5238,429
5249,428
5259,429
5269,428
5280,427
5291,426
5301,426
5311,425
5321,424
5331,423
5342,423
5353,423
5363,421
5373,420
5384,421
5394,420
5404,419
5415,418
5426,418
5436,418
5446,417
5456,416
5467,417
5477,417
5488,416
5498,415
5509,416
5519,416
5529,415
5539,414
5551,415
5561,415
5571,414
5581,414
5592,414
5602,415
5613,414
5623,414
5634,415
5644,415
5654,415
5664,415
5675,416
5686,416
5696,416
5706,416
5716,417
5727,418
5737,418
5748,418
5758,419
5769,420
5779,419
5789,419
5799,420
5810,421
5821,421
5831,422
5841,423
5852,424
5862,423
5872,424
5883,425
5894,425
5904,425
5914,425
5924,426
5935,427
5946,427
5956,427
5966,428
5977,429
5987,428
5997,429
6007,429
6019,430
6029,430
6039,430
6049,431
6060,431
6070,431
6081,431
6091,432
6102,432
6112,432
6122,431
6132,432
6142,432
6154,432
6164,431
6174,432
6184,432
6195,431
6205,431
6216,431
6226,431
6237,430
6247,429
6257,429
6267,430
6279,429
6289,428
6299,428
6309,428
6320,428
6330,427
6340,427
6351,427
6362,426
6372,425
6382,425
6392,425
6403,424
6414,423
6424,423
6434,423
6445,423
6455,422
6465,422
6475,422
6487,421
6497,420
6507,420
6517,421
6528,420
6538,420
6549,419
6559,420
6569,420
6580,419
6590,419
6600,419
6611,419
6622,418
6632,418
6642,419
6652,419
6663,419
6673,419
6684,420
6694,420
6705,419
6715,419
6725,420
6735,421
6747,420
6757,420
6767,422
6777,422
6788,422
6798,422
6808,423
6819,424
6830,423
6840,424
6850,425
6860,425
6871,425
6882,425
6892,427
6902,427
6913,427
6923,427
6933,428
6944,429
6955,428
6965,428
6975,429
6985,430
6995,429
7006,430
7017,431
7027,431
7037,430
7048,430
7058,431
7068,432
7079,431
7090,431
7100,432
7110,432
7120,432
7131,431
7141,432
7152,432
7162,431
7173,431
7183,431
7193,431
7203,430
7215,430
7225,431
7235,431
7245,429
7256,429
7266,430
7277,430
7287,429
7298,428
7308,428
7318,428
7328,427
7339,426
7350,427
7360,427
7370,426
7380,425
7391,425
7401,425
7412,424
7422,423
7433,423
7443,423
7453,422
7463,422
7474,422
7485,422
7495,421
7505,420
7516,421
7526,421
7536,419
7547,419
7558,419
7568,419
7578,419
7588,418
7599,419
7610,419
7620,418
7630,417
7641,418
7651,418
7661,418
7671,417
7683,418
7693,418
7703,418
7713,418
7724,418
7734,419
7745,419
7755,419
7766,419
7776,420
7786,420
7796,420
7806,420
7818,421
7828,421
7838,421
7848,422
7859,423
7869,423
7880,423
7890,424
7901,425
7911,425
7921,424
7931,425
7942,426
7953,426
7963,426
7973,427
7984,428
7994,428
8004,428
8015,428
8026,429
8036,429
8046,429
8056,430
8067,431
8078,431
8088,431
8098,431
8109,432
8119,432
8129,431
8139,431
8151,432
8161,432
8171,431
8181,432
8192,432
8202,432
8213,431
8223,431
8233,432
8244,432
8254,431
8264,430
8275,431
8286,431
8296,430
8306,429
8316,430
8327,430
8337,429
8348,428
8358,429
8369,428
8379,427
8389,426
8399,427
8411,427
8421,425
8431,425
8441,425
8452,425
8462,424
8472,423
8483,423
8494,423
8504,422
8514,421
8524,422
8535,422
8546,421
8556,420
8566,421
8577,420
8587,419
8597,418
8607,419
8619,419
8629,418
8639,418
8649,418
8659,418
8670,417
8681,417
8691,418
8701,418
8712,417
8722,417
8732,418
8743,418
8754,417
8764,417
8774,418
8784,419
8795,418
8805,419
8816,420
8826,420
8837,420
8847,420
8857,421
8867,421
8879,421
8889,421
8899,423
8909,423
8920,423
8930,423
8940,424
8951,425
8962,425
8972,425
8982,426
8992,426
9003,426
9014,427
9024,428
9034,428
9044,428
9055,428
9065,429
9076,429
9086,429
9097,429
9107,430
9117,431
9127,431
9138,431
9149,432
9159,432
9169,432
9180,432
9190,432
9200,432
9211,432
9222,431
9232,432
9242,432
9252,431
9263,431
9274,432
9284,432
9294,431
9305,431
9315,431
9325,431
9335,430
9347,430
9357,430
9367,430
9377,429
9388,429
9398,428
9409,428
9419,428
9430,427
9440,427
9450,427
9460,426
9470,425
9482,425
9492,425
9502,425
9512,424
9523,423
9533,423
9544,423
9554,422
9565,422
9575,422
9585,421
9595,420
9607,420
9617,421
9627,420
9637,419
9648,419
9658,419
9668,419
9679,418
9690,418
9700,419
9710,418
9720,418
9731,418
9742,418
9752,418
9762,417
9773,418
9783,418
9793,418
9803,418
9815,418
9825,419
9835,419
9845,419
9856,419
9866,420
9877,420
9887,420
9897,420
9908,421
9918,421
9928,421
9939,421
9950,423
9960,423
9970,423
9980,423
9991,424
10001,425
10013,425
10024,426
10036,427
10047,427
10058,427
10070,428
10082,428
10093,428
10104,428
10116,429
10127,430
10139,429
10150,430
10162,430
10173,431
10184,431
10195,431
10208,432
10219,432
10230,431
10242,432
10253,432
10264,432
10276,432
10288,432
10299,432
10310,432
10321,431
10333,431
10345,431
10356,431
10368,431
10379,430
10390,431
10401,430
10414,429
10425,429
10436,429
10447,428
10459,428
10470,427
10482,428
10493,427
10505,426
10516,426
10527,425
10540,425
10551,424
10562,424
10573,424
10585,423
10596,422
10608,423
10619,422
10631,421
10642,421
10653,421
10664,421
10677,420
10688,420
10699,420
10711,420
10722,419
10733,419
10745,419
10757,419
10768,419
10779,418
10790,419
10802,419
10814,418
10825,419
10836,418
10848,419
10859,419
10871,419
10883,420
10894,419
10905,419
10916,420
10928,420
10940,420
10951,421
10962,421
10974,422
10985,422
10996,421
11009,423
11020,423
11031,423
11042,424
11054,424
11065,425
11077,425
11088,424
11100,425
11111,426
11122,426
11133,427
11146,427
11157,428
11168,428
11180,427
11191,428
11202,428
11214,429
11226,429
11237,429
11248,429
11259,429
11272,429
11283,429
11294,429
11305,429
11317,428
11328,428
11340,428
11352,428
11363,427
11374,427
11385,426
11397,425
11409,425
11420,425
11431,424
11443,424
11454,423
11465,423
11478,422
11489,421
11500,421
11511,420
11523,420
11534,419
11546,418
11557,417
11569,417
11580,415
11591,415
11602,414
11615,414
11626,413
11637,412
11649,412
11660,411
11672,409
11683,409
11695,408
11706,408
11717,407
11728,406
11741,407
11752,406
11763,404
11774,405
11786,404
11797,404
11809,404
11821,403
11832,404
11843,403
11854,402
11866,403
11878,403
11889,403
11900,403
11912,403
11923,404
11934,404
11947,403
11958,404
11969,404
11980,405
11992,405
12004,405
12015,406
12026,407
12038,406
12049,407
12060,408
12072,408
12084,409
12095,409
12106,410
12118,411
12129,410
12141,411
12152,412
12164,412
12175,413
12186,413
12197,414
12210,415
12221,414
12232,415
12243,416
12255,415
12266,416
12278,417
12290,417
12301,417
12312,417
12323,418
12336,418
12347,417
12358,418
12369,418
12381,418
12392,418
12404,417
12416,418
12427,418
12438,417
12449,417
12461,417
12473,417
12484,416
12495,416
12507,416
12518,415
12529,414
12541,414
12553,414
12564,414
12575,413
12587,412
12598,412
12610,412
12621,410
12633,410
12644,410
12655,410
12666,409
12679,408
12690,408
12701,408
12712,407
12724,407
12736,406
12747,406
12759,406
12770,405
12781,405
12792,405
12805,403
12816,404
12827,403
12838,403
12850,403
12861,403
12873,403
12884,403
12896,402
12907,402
12918,402
12930,402
